title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters
Half Shot at Sunrise,MOVIE,1930,78,0.0,6.0,350.0,1.212,6.6,US,1,comedy,5
Fighting Caravans,MOVIE,1931,92,0.0,5.7,632.0,2.938,5.5,US,1,western,4
Dancing Pirate,MOVIE,1936,83,0.0,4.9,328.0,2.084,5.6,US,1,action,22
The Flaming Signal,MOVIE,1933,64,0.0,4.0,49.0,1.163,6.0,US,1,thriller,1
The Bashful Bachelor,MOVIE,1942,78,0.0,5.2,156.0,0.949,4.5,US,1,comedy,5
M'Liss,MOVIE,1918,73,0.0,6.5,146.0,1.228,6.0,US,1,drama,0
I'm from Arkansas,MOVIE,1944,70,0.0,5.4,173.0,1.831,5.3,US,1,comedy,5
Southward Ho,MOVIE,1939,58,0.0,6.3,130.0,1.182,7.0,US,1,western,4
Idaho,MOVIE,1943,70,0.0,6.0,168.0,1.24,5.7,US,1,western,4
The Real Glory,MOVIE,1939,96,0.0,6.5,1074.0,2.871,6.1,US,1,action,22
Queen of the Yukon,MOVIE,1940,73,0.0,6.0,83.0,1.551,5.0,US,1,western,4
Jaws of Justice,MOVIE,1933,58,0.0,4.0,55.0,0.996,4.0,US,1,western,4
Jesse James at Bay,MOVIE,1941,56,0.0,5.8,172.0,1.312,5.0,US,1,western,4
The Lady Refuses,MOVIE,1931,72,0.0,6.0,346.0,1.905,5.3,US,1,romance,3
The Royal Bed,MOVIE,1931,75,0.0,5.9,207.0,0.75,4.2,US,1,comedy,5
Billy the Kid Trapped,MOVIE,1942,55,0.0,5.1,191.0,0.728,5.0,US,1,western,4
Big Town After Dark,MOVIE,1947,69,0.0,5.5,213.0,1.687,5.6,US,1,crime,2
Manhattan Merry-Go-Round,MOVIE,1937,89,0.0,5.7,146.0,1.286,5.7,US,1,comedy,5
"Parole, Inc.",MOVIE,1948,71,0.0,5.7,368.0,2.068,4.6,US,1,thriller,1
Cattle Stampede,MOVIE,1943,57,0.0,6.2,91.0,0.967,5.7,US,1,western,4
Born to the West,MOVIE,1937,59,0.0,5.7,910.0,3.02,4.7,US,1,western,4
Dreaming Out Loud,MOVIE,1940,81,0.0,6.4,114.0,1.053,5.7,US,1,comedy,5
Beware,MOVIE,1946,54,0.0,5.9,84.0,1.151,5.0,US,1,romance,3
Sinners in Paradise,MOVIE,1938,65,0.0,5.7,457.0,0.6,6.3,US,1,action,22
Wrangler's Roost,MOVIE,1941,57,0.0,5.9,44.0,1.628,6.0,US,1,western,4
The Racketeer,MOVIE,1929,66,0.0,5.4,412.0,1.957,4.2,US,1,drama,0
Lights of Old Santa Fe,MOVIE,1944,78,0.0,6.0,209.0,1.734,5.7,US,1,western,4
